Room,Value,Time,Type
3FAD,650.0,21:23 2023-12-02,CO2 ppm
3FAD,20.9,21:23 2023-12-02,t° C
3FAD,43.1,21:23 2023-12-02,RH %
3FAD,649.0,21:38 2023-12-02,CO2 ppm
3FAD,20.9,21:38 2023-12-02,t° C
3FAD,43.1,21:38 2023-12-02,RH %
3FAD,647.0,21:53 2023-12-02,CO2 ppm
3FAD,20.9,21:53 2023-12-02,t° C
3FAD,43.1,21:53 2023-12-02,RH %
3FAD,644.0,22:08 2023-12-02,CO2 ppm
3FAD,20.9,22:08 2023-12-02,t° C
3FAD,43.1,22:08 2023-12-02,RH %
3FAD,644.0,22:23 2023-12-02,CO2 ppm
3FAD,20.9,22:23 2023-12-02,t° C
3FAD,43.1,22:23 2023-12-02,RH %
3FAD,644.0,22:38 2023-12-02,CO2 ppm
3FAD,20.9,22:38 2023-12-02,t° C
3FAD,43.1,22:38 2023-12-02,RH %
3FAD,641.0,22:53 2023-12-02,CO2 ppm
3FAD,20.9,22:53 2023-12-02,t° C
3FAD,43.1,22:53 2023-12-02,RH %
3FAD,635.0,23:08 2023-12-02,CO2 ppm
3FAD,20.9,23:08 2023-12-02,t° C
3FAD,43.1,23:08 2023-12-02,RH %
3FAD,634.0,23:23 2023-12-02,CO2 ppm
3FAD,20.9,23:23 2023-12-02,t° C
3FAD,43.1,23:23 2023-12-02,RH %
